place_name,street_address,address_number,city,zipcode,gmaps_url,latitude,longitude,places_url,record_created,short_description,alternate_names,date_built,date_notes,extant,place_type,architect_name,building_use,wikipedia_url,architectural_style,place_count,explore_id,explore_duplicate,chap_landmark,builder_name,inventory_relation,location_check_needed,date_razed,issue_url,street_name,neighborhood,osm_query,osm_flickr_tag_type,osm_flickr_tag_id,flickr_osm_url,source,extra_data,legislative_district,short_description_state,related_issue_url,featured,zoning_id,geo_accuracy,mihpno_district,mihp_district_name,mihp_historic_district,mihp_survey_district,housing_market_typology,chap_district,explore_url,county,state,full_address,congressional_district,council_district,source_url,official_url,interior_area_sf,lot_size_sf,nr_landmark,nr_district,NHL_designation,address_listed,lot,block,ownership_type,owner_address,owner_name,marker_symbol,slug,issue_type,sort_date,year_start,image_url,year_end,image_note,image_source,image_caption,developer_name,explore_url_show,editorial_state,development_state,unoccupied,streetview_url,streetview_image_url,religious_association,date_established,date_closed,lat_core,long_core,mihp_individual_good,events
12 East Pleasant Street (Brick House),12 East Pleasant Street,12,Baltimore,,"https://www.google.com/maps/place/12 East Pleasant Street, Baltimore, MD",39.29371580,-76.61449870,,2017-05-03 12:55pm,,,,,,,,Dwelling,,,,,,,,habs:md0154,,,,,,http://www.openstreetmap.org/query?lat=39.2937158&lon=-76.6144987#map=19/39.2937158/-76.6144987,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 East Mount Vernon Place (House),14 East Mount Vernon Place,14,Baltimore,,"https://www.google.com/maps/place/14 East Mount Vernon Place, Baltimore, MD",39.29777020,-76.61484850,,2017-05-03 12:55pm,,,,,,Building,,Dwelling,,,1,,,,,habs:md1716,,,,,,http://www.openstreetmap.org/query?lat=39.2977702&lon=-76.6148485#map=19/39.2977702/-76.6148485,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 East Pleasant Street (House),15 East Pleasant Street,15,Baltimore,,"https://www.google.com/maps/place/15 East Pleasant Street, Baltimore, MD",39.29353270,-76.61475610,,2017-05-03 12:55pm,,,,,,Building,,Dwelling,,,1,,,,,habs:md0166,,,,,,http://www.openstreetmap.org/query?lat=39.2935327&lon=-76.6147561#map=19/39.2935327/-76.6147561,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-28 East Mount Vernon Place,18-28 East Mount Vernon Place,18-28,Baltimore,,"https://www.google.com/maps/place/18-28 East Mount Vernon Place, Baltimore, MD",39.29795030,-76.61423170,,2017-05-03 12:55pm,,,,,,Group,,Dwelling,,,,,,,,habs:md1645,,,,,Mount Vernon,http://www.openstreetmap.org/query?lat=39.2979503&lon=-76.6142317#map=19/39.2979503/-76.6142317,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Winters Lane (House),19 Winters Lane,19,Catonsville,,"https://www.google.com/maps/place/19 Winters Lane, Catonsville, MD",39.27230280,-76.73666200,,2017-05-03 12:55pm,,,,,,Building,,Dwelling,,,1,,,,,habs:md1278,,,,,,http://www.openstreetmap.org/query?lat=39.2723028&lon=-76.736662#map=19/39.2723028/-76.736662,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore County,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-47 West Preston Street (Brick Row Houses),23-47 West Preston Street,23-47,Baltimore,,"https://www.google.com/maps/place/23-47 West Preston Street, Baltimore, MD",39.30444220,-76.61749550,,2017-05-03 12:55pm,,,,,,Group,,,,,,,,,,habs:md0152,,,,,,http://www.openstreetmap.org/query?lat=39.3044422&lon=-76.6174955#map=19/39.3044422/-76.6174955,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 N. High Street,24 N. High Street,24,Baltimore,21202,"https://www.google.com/maps/place/24 N. High Street, Baltimore, MD",39.29080600,-76.60453200,,2017-05-02 11:15pm,,,,,T,Building,,,,,,,,,,,,,,,Jonestown,http://www.openstreetmap.org/query?lat=39.290806&lon=-76.604532#map=19/39.290806/-76.604532,way,338056888,https://www.flickr.com/photos/tags/osm:way=338056888,Historic Resource Watchlist,T,46,missing,,null,966,8,,,,,Commercial,,,Baltimore City,MD,"24 N. High Street Baltimore, MD 21202",7TH,12,,,,,,,,checked,,,,,,,,,,,,,,,,,,,2015 Vacants to Value Surplus Sale,Y,"https://maps.google.com/?layer=c&cbll=39.290806,-76.604532","https://maps.googleapis.com/maps/api/streetview?location=39.290806,-76.604532&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,0.128020,1.280570,,
29 Right Aileron Street (House),29 Right Aileron Street,29,Middle River,,"https://www.google.com/maps/place/29 Right Aileron Street, Middle River, MD",39.33160630,-76.44865250,,2017-05-03 12:55pm,,,,,,Building,,,,,1,,,,,habs:md1707,,,,,,http://www.openstreetmap.org/query?lat=39.3316063&lon=-76.4486525#map=19/39.3316063/-76.4486525,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore County,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-36 South Calvert Street (Commercial Buildings),30-36 South Calvert Street,30-36,Baltimore,,"https://www.google.com/maps/place/30-36 South Calvert Street, Baltimore, MD",39.28815630,-76.61242940,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md1594,,,,,,http://www.openstreetmap.org/query?lat=39.2881563&lon=-76.6124294#map=19/39.2881563/-76.6124294,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36 Montgomery Street (House),36 Montgomery Street,36,Baltimore,,"https://www.google.com/maps/place/36 Montgomery Street, Baltimore, MD",39.28010400,-76.61354830,,2017-05-03 12:55pm,,,1783-1787,,,Building,,,,,1,,,,,habs:md0100,,,,,,http://www.openstreetmap.org/query?lat=39.280104&lon=-76.6135483#map=19/39.280104/-76.6135483,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 South Street (Commercial Building),37 South Street,37,Baltimore,,"https://www.google.com/maps/place/37 South Street, Baltimore, MD",39.28848040,-76.61087010,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md1026,,,,,,http://www.openstreetmap.org/query?lat=39.2884804&lon=-76.6108701#map=19/39.2884804/-76.6108701,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47 Honeycomb Road (House), Victory Villa",47 Honeycomb Road,47,,,"https://www.google.com/maps/place/47 Honeycomb Road, , MD",39.34089050,-76.45559320,,2017-05-03 12:55pm,,,,,,Building,,,,,1,,,,,habs:md1706,,,,,,http://www.openstreetmap.org/query?lat=39.3408905&lon=-76.4555932#map=19/39.3408905/-76.4555932,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore County,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53 Blister Street (House),53 Blister Street,53,Middle River,,"https://www.google.com/maps/place/53 Blister Street, Middle River, MD",39.33112350,-76.44936410,,2017-05-03 12:55pm,,,,,,Building,,,,,1,,,,,habs:md1708,,,,,,http://www.openstreetmap.org/query?lat=39.3311235&lon=-76.4493641#map=19/39.3311235/-76.4493641,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore County,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 Ellwood Modern Apartments & Lofts,101 S. Ellwood Avenue,101,Baltimore,,"https://www.google.com/maps/place/101 S. Ellwood Avenue, Baltimore, MD",39.29063200,-76.57288290,,2017-07-08 10:13pm,,Formerly Highlandtown Middle School; Patterson Park Junior High School and Patterson High School,1934,,T,Building,Wyatt & Nolting,"Educational building,Apartments",,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.290632&lon=-76.5728829#map=19/39.290632/-76.5728829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 Albemarle Street (Double House),102 Albemarle Street,102,Baltimore,,"https://www.google.com/maps/place/102 Albemarle Street, Baltimore, MD",39.28826370,-76.60379050,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md0320,,,,,,http://www.openstreetmap.org/query?lat=39.2882637&lon=-76.6037905#map=19/39.2882637/-76.6037905,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104 South Exeter Street (House-Mantel),104 South Exeter Street,104,Baltimore,,"https://www.google.com/maps/place/104 South Exeter Street, Baltimore, MD",39.28893550,-76.60218910,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md0158,,,,,,http://www.openstreetmap.org/query?lat=39.2889355&lon=-76.6021891#map=19/39.2889355/-76.6021891,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104-106 South Paca Street (Double Houses),104-106 South Paca Street,104-106,Baltimore,,"https://www.google.com/maps/place/104-106 South Paca Street, Baltimore, MD",39.28661110,-76.62253430,,2017-05-03 12:55pm,,,,,,Group,,,,,,,,,,habs:md0159,,,,,,http://www.openstreetmap.org/query?lat=39.2866111&lon=-76.6225343#map=19/39.2866111/-76.6225343,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107 West Monument Street (House),107 West Monument Street,107,Baltimore,,"https://www.google.com/maps/place/107 West Monument Street, Baltimore, MD",39.29726610,-76.61783510,,2017-05-03 12:55pm,,,,,,Building,,,,,1,,,,,habs:md0200,,,,,,http://www.openstreetmap.org/query?lat=39.2972661&lon=-76.6178351#map=19/39.2972661/-76.6178351,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108-112 East Lombard Street (Commercial Buildings),108-112 East Lombard Street,108-112,Baltimore,,"https://www.google.com/maps/place/108-112 East Lombard Street, Baltimore, MD",39.28795850,-76.61277100,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md1595,,,,,,http://www.openstreetmap.org/query?lat=39.2879585&lon=-76.612771#map=19/39.2879585/-76.612771,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113 South Broadway Street (Second Story Porch),113 South Broadway Street,113,Baltimore,,"https://www.google.com/maps/place/113 South Broadway Street, Baltimore, MD",39.28994630,-76.59337860,,2017-05-03 12:55pm,,,,,,Element,,Dwelling,,,,,,,,habs:md0315,,,,,,http://www.openstreetmap.org/query?lat=39.2899463&lon=-76.5933786#map=19/39.2899463/-76.5933786,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118-128 South Broadway (Brick Row Houses),118-128 South Broadway,118-128,Baltimore,,"https://www.google.com/maps/place/118-128 South Broadway, Baltimore, MD",39.28953720,-76.59404990,,2017-05-03 12:55pm,,,,,,Group,,,,,,,,,,habs:md0155,,,,,,http://www.openstreetmap.org/query?lat=39.2895372&lon=-76.5940499#map=19/39.2895372/-76.5940499,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123-125 North Paca Street,123-125 North Paca Street,123-125,Baltimore,,"https://www.google.com/maps/place/123-125 North Paca Street, Baltimore, MD",39.29097650,-76.62232330,,2017-05-03 12:55pm,,,c. 1880,,,,,,,,,,,,,habs:md1025,,,,,,http://www.openstreetmap.org/query?lat=39.2909765&lon=-76.6223233#map=19/39.2909765/-76.6223233,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123-125 North Paca Street,123-125 North Paca Street,123-125,Baltimore,,"https://www.google.com/maps/place/123-125 North Paca Street, Baltimore, MD",39.29097650,-76.62232330,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md1051,,,,,,http://www.openstreetmap.org/query?lat=39.2909765&lon=-76.6223233#map=19/39.2909765/-76.6223233,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129-169 Henrietta Street (Houses & Commercial Building),129-169 Henrietta Street,129-169,Baltimore,,"https://www.google.com/maps/place/129-169 Henrietta Street, Baltimore, MD",39.27909330,-76.61791990,,2017-05-03 12:55pm,,,,,,Group,,Dwelling,,,,,,,,habs:md0959,,,,,,http://www.openstreetmap.org/query?lat=39.2790933&lon=-76.6179199#map=19/39.2790933/-76.6179199,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129-169 Henrietta Street (Houses & Commercial Buildings),129-169 Henrietta Street,129-169,Baltimore,,"https://www.google.com/maps/place/129-169 Henrietta Street, Baltimore, MD",39.27909330,-76.61791990,,2017-05-03 12:55pm,,,,,,Group,,Dwelling,,,,,,,,habs:md1031,,,,,,http://www.openstreetmap.org/query?lat=39.2790933&lon=-76.6179199#map=19/39.2790933/-76.6179199,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163 Church Street (Commercial Building),163 Church Street,163,Texas,,"https://www.google.com/maps/place/163 Church Street, Texas, MD",29.64242720,-95.21950850,,2017-05-03 12:55pm,,,,,,,,Religious building,,,,,,,,habs:md1217,,,,,,http://www.openstreetmap.org/query?lat=29.6424272&lon=-95.2195085#map=19/29.6424272/-95.2195085,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore County,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201-231 Saint Paul Place (Commercial Buildings),201-231 Saint Paul Place,201-231,Baltimore,,"https://www.google.com/maps/place/201-231 Saint Paul Place, Baltimore, MD",39.29210540,-76.61313700,,2017-05-03 12:55pm,,,,,,Group,,,,,,,,,,habs:md1596,,,,,,http://www.openstreetmap.org/query?lat=39.2921054&lon=-76.613137#map=19/39.2921054/-76.613137,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203-205 North Calvert Street (Commercial Building),203-205 North Calvert Street,203-205,Baltimore,,"https://www.google.com/maps/place/203-205 North Calvert Street, Baltimore, MD",39.29127420,-76.61245620,,2017-05-03 12:55pm,,,,,,Group,,,,,,,,,,habs:md1592,,,,,,http://www.openstreetmap.org/query?lat=39.2912742&lon=-76.6124562#map=19/39.2912742/-76.6124562,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210-214 East Baltimore Street (Commercial Building),210-214 East Baltimore Street,210-214,Baltimore,,"https://www.google.com/maps/place/210-214 East Baltimore Street, Baltimore, MD",39.28966190,-76.61184630,,2017-05-03 12:55pm,,,,,,Group,,,,,,,,,,habs:md1593,,,,,,http://www.openstreetmap.org/query?lat=39.2896619&lon=-76.6118463#map=19/39.2896619/-76.6118463,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228-230 Bradford Street (Commercial Buildings),228-230 Bradford Street,228-230,Baltimore,,"https://www.google.com/maps/place/228-230 Bradford Street, Baltimore, MD",39.29456690,-76.58429990,,2017-05-03 12:55pm,,,,,,Group,,Dwelling,,,,,,,,habs:md0987,,,,,,http://www.openstreetmap.org/query?lat=39.2945669&lon=-76.5842999#map=19/39.2945669/-76.5842999,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248-250 South Exeter Street (Double House),248-250 South Exeter Street,248-250,Baltimore,,"https://www.google.com/maps/place/248-250 South Exeter Street, Baltimore, MD",39.28679900,-76.60101100,,2017-05-03 12:55pm,,,,,,Group,,Dwelling,,,,,,,,habs:md0318,,,,,,http://www.openstreetmap.org/query?lat=39.286799&lon=-76.601011#map=19/39.286799/-76.601011,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304 East Lombard Street (Commercial Building),304 East Lombard Street,304,Baltimore,,"https://www.google.com/maps/place/304 East Lombard Street, Baltimore, MD",39.28789820,-76.61040320,,2017-05-03 12:55pm,,,c. 1905,,,Building,,,,,,,,,,habs:md1027,,,,,,http://www.openstreetmap.org/query?lat=39.2878982&lon=-76.6104032#map=19/39.2878982/-76.6104032,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341 West Franklin Street (House-Exterior Stairway),341 West Franklin Street,341,Baltimore,,"https://www.google.com/maps/place/341 West Franklin Street, Baltimore, MD",39.29490320,-76.62098800,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md0153,,,,,,http://www.openstreetmap.org/query?lat=39.2949032&lon=-76.620988#map=19/39.2949032/-76.620988,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404 George Street,404 George Street,404,Baltimore,21201,"https://www.google.com/maps/place/404 George Street, Baltimore, MD",39.29587400,-76.62177700,,2017-05-02 11:15pm,,,,,T,Building,,Dwelling,,,,,,,,,,,,,Seton Hill,http://www.openstreetmap.org/query?lat=39.295874&lon=-76.621777#map=19/39.295874/-76.621777,way,336382626,https://www.flickr.com/photos/tags/osm:way=336382626,Historic Resource Watchlist,T,44,missing,,null,882,9,,,,,D - Middle Market,Seton Hill,,Baltimore City,MD,"404 George Street Baltimore, MD 21201",7TH,11,,,,,,Seton Hill,,checked,,,Private,,,building,,Neglect,,,,,,,,,,,,Y,"https://maps.google.com/?layer=c&cbll=39.295874,-76.621777","https://maps.googleapis.com/maps/api/streetview?location=39.295874,-76.621777&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,0.634820,-0.443930,,
